,Month,Month,Month,Month,Month,Month,Month,Month,Hours_watched,Hours_watched,Hours_watched,Hours_watched,Hours_watched,Hours_watched,Hours_watched,Hours_watched,Avg_viewers,Avg_viewers,Avg_viewers,Avg_viewers,Avg_viewers,Avg_viewers,Avg_viewers,Avg_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Peak_viewers,Streams,Streams,Streams,Streams,Streams,Streams,Streams,Streams,Avg_channels,Avg_channels,Avg_channels,Avg_channels,Avg_channels,Avg_channels,Avg_channels,Avg_channels,Games_streamed,Games_streamed,Games_streamed,Games_streamed,Games_streamed,Games_streamed,Games_streamed,Games_streamed,Viewer_ratio,Viewer_ratio,Viewer_ratio,Viewer_ratio,Viewer_ratio,Viewer_ratio,Viewer_ratio,Viewer_ratio
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,439291907.6666667,42987356.48985847,362833210.0,426924266.0,448058886.5,459836726.75,490669308.0,12.0,600791.25,55477.26004429858,504635.0,581960.25,615320.0,638415.5,660389.0,12.0,1455340.75,182996.98941643076,1186009.0,1327875.5,1424492.5,1559750.25,1775120.0,12.0,7058533.416666667,514677.78991334315,6084871.0,6744729.75,6954119.5,7427097.5,7848796.0,12.0,19127.916666666668,1777.3679446321914,16592.0,17742.5,19322.0,20310.0,22291.0,12.0,12975.75,795.4358582220534,12134.0,12270.0,12692.5,13761.75,14033.0,12.0,28.629166666666663,0.3154638239837091,28.13,28.375,28.69,28.8675,29.08
2017,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,544465174.6666666,34224620.98283057,500932308.0,515008065.25,534440833.5,573741006.0,601251200.0,12.0,746867.9166666666,40985.8760006161,682271.0,716095.0,745616.5,775433.25,809220.0,12.0,1716168.0833333333,245003.74695110958,1496306.0,1518097.75,1667521.5,1827158.5,2284184.0,12.0,7890737.25,1140224.3916823107,5507554.0,7674711.0,8206047.5,8562967.25,9288649.0,12.0,24623.083333333332,1806.8006610547493,22078.0,23332.5,24465.0,25744.75,28181.0,12.0,15580.166666666666,692.2806621244848,14737.0,14965.5,15598.5,15914.0,16871.0,12.0,27.13166666666667,0.6074063090242188,26.13,26.7425,27.105,27.6325,28.07
2018,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,780777549.5833334,74582103.76068418,615710441.0,727330004.5,792654014.0,847658586.75,865630693.0,12.0,1070230.75,89656.87422524225,917601.0,1003483.25,1084553.0,1140859.0,1203936.0,12.0,2332288.0,602038.3784009424,1714327.0,2000449.5,2204606.5,2452686.0,3929074.0,12.0,13968452.666666666,1669935.0334237737,10729066.0,13397288.5,14155599.5,14952564.5,16271867.0,12.0,41131.416666666664,4243.563520917368,33580.0,38922.25,40695.0,44280.25,48190.0,12.0,18895.333333333332,335.19555576716795,18309.0,18631.75,18922.0,19175.25,19290.0,12.0,25.418333333333333,0.49126614400182744,24.36,25.2,25.515,25.7925,26.02
2019,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,916683897.75,38479309.76338908,878083331.0,881504555.75,908513344.0,941573599.0,999177398.0,12.0,1257788.9166666667,47318.44719741174,1186403.0,1222376.5,1249998.5,1284530.5,1344787.0,12.0,2742726.75,321256.07072640385,2278352.0,2596517.0,2661195.5,2913403.0,3496976.0,12.0,14813621.416666666,1350223.3100345398,12939422.0,13656957.25,14734695.0,15610969.0,17042119.0,12.0,49522.833333333336,4118.507272242597,45185.0,46103.5,48234.0,52250.75,56375.0,12.0,20215.333333333332,339.96559540725013,19573.0,19972.25,20228.5,20471.5,20751.0,12.0,26.173333333333332,1.1873448862010898,24.38,25.39,26.275,27.0425,28.26
2020,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,1550581166.5,309425546.8875378,981752149.0,1484039382.75,1624982636.0,1777917736.5,1877319317.0,12.0,2119968.0,417010.77835797874,1359367.0,1997360.5,2235600.5,2412986.0,2526674.0,12.0,4090603.75,989176.1989044792,2400513.0,3746874.5,4126227.5,4545547.5,6060464.0,12.0,18348952.333333332,2334745.847177972,13455714.0,17686798.0,18510017.0,19875286.5,22089295.0,12.0,87628.08333333333,18869.870252761695,52875.0,85506.0,94611.0,97437.25,107006.0,12.0,26443.416666666668,4217.099896597042,20748.0,24202.5,25440.5,29873.0,32840.0,12.0,24.855,1.3082847896804013,22.65,24.107499999999998,24.67,25.9825,26.79
2021,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,2027974318.4166667,160202342.04048124,1812117484.0,1933525820.75,1977084118.0,2175759143.5,2308295297.0,12.0,2782732.4166666665,215165.58371739418,2520054.0,2618176.0,2725015.5,2939756.75,3112681.0,12.0,5578503.666666667,639400.8709150854,4415373.0,5206366.25,5702857.0,6019857.0,6516666.0,12.0,21474377.166666668,3125274.332934131,17415525.0,18672318.0,20911549.5,24341270.0,26207129.0,12.0,104904.5,11776.208754788768,90731.0,94599.25,101823.5,116139.75,122763.0,12.0,35819.666666666664,757.7856897006907,34551.0,35443.5,35980.0,36340.75,36960.0,12.0,27.151666666666667,1.5981684592815686,24.67,26.15,27.335,28.002499999999998,30.39
2022,12.0,6.5,3.605551275463989,1.0,3.75,6.5,9.25,12.0,12.0,1883204971.0833333,128697860.40339713,1674092138.0,1830409571.5,1888697874.0,1939208896.5,2162446961.0,12.0,2585481.8333333335,194852.15861021559,2253152.0,2532885.0,2552746.5,2609971.25,2956001.0,12.0,5064938.75,711063.1217826555,3866814.0,4661241.75,4936379.0,5385985.5,6707070.0,12.0,23739312.75,1731303.4680311682,21744817.0,22643547.25,23302913.0,24671838.5,27591148.0,12.0,93216.41666666667,5662.306267339442,84728.0,89838.75,92270.5,95274.75,103548.0,12.0,41899.75,810.8792225950568,40713.0,41278.75,41979.5,42275.5,43566.0,12.0,28.040000000000003,0.8000795415002642,26.84,27.28,28.355,28.43,29.4
2023,9.0,5.0,2.7386127875258306,1.0,3.0,5.0,7.0,9.0,9.0,1777723089.4444444,55455013.926381126,1690480123.0,1755716157.0,1787298991.0,1812569062.0,1866962462.0,9.0,2446076.5555555555,58864.552168752445,2351154.0,2409835.0,2441886.0,2457954.0,2551454.0,9.0,4972451.555555556,692715.9713466824,4106733.0,4548556.0,4633797.0,5364876.0,6242790.0,9.0,23216561.0,862788.3829287167,22164665.0,22482367.0,23098283.0,23615116.0,24429476.0,9.0,94005.44444444444,1963.9455893119284,90764.0,93136.0,93349.0,95753.0,96466.0,9.0,43557.555555555555,708.6196284169511,42440.0,43104.0,43611.0,44060.0,44571.0,9.0,26.281111111111112,0.8705521874713263,24.63,25.76,26.57,26.75,27.44
